LIDNUM	NAME	COUNTRY	MAX_AGE	MIN_AGE	GENUS	SPECIES	UNIQUE	BODYMASS	AVG_AGE	LAT	LONG	EXTIMATED_VARIABLE	UNIT	ANNUAL_MEAN	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
22883	Agyspe Oligocene	Kazakhstan	27.8	23	Aralotherium	prohorovi	0	8000000	25.4	46.8	60.5	near-surface air temperature	degC	18.7	-3.2	0.1	8.5	19	30	39.1	44.2	40.2	28.2	14.2	5.1	-1.3	
23039	Saerduoyila	China	26.7	23	Aralotherium	sui	0	13000000	24.8	46.6	87.7	near-surface air temperature	degC	3.7	-16.9	-13.5	-7.9	1	9.8	20.4	31.3	29.4	15.2	0.6	-9.3	-15.3	
22588	Ushkul	Kazakhstan	26.7	23	Aralotherium	prohorovi	0	8000000	24.8	51.8	62.3	near-surface air temperature	degC	12.8	-10.6	-8.6	0.9	12.8	24.5	34.1	40.3	35.7	22.9	9	0	-7	
24467	Dongxiang Jiaozigou Fm	China	26.7	23	Dzungariotherium	orgosense	0	19696362	24.8	35.6	103.3	near-surface air temperature	degC	17.6	-0.7	4.6	11.6	18.5	26.4	35.2	34.1	32.3	28.1	15.8	5.1	-0.3	Valdes et al (2021)
29549	Feiyue Railway station	China	33.9	23	Dzungariotherium	turfanense	0	11600000	28.5	42.9	89.1	near-surface air temperature	degC	21.3	-4	1.5	10.2	19.8	29.8	42.2	50.5	48.2	37.6	16.8	5.1	-2.3	Valdes et al (2021)
29549	Feiyue Railway station	China	33.9	23	Dzungariotherium	tienshanense	0	19600000	28.5	42.9	89.1	near-surface air temperature	degC	21.3	-4	1.5	10.2	19.8	29.8	42.2	50.5	48.2	37.6	16.8	5.1	-2.3	Valdes et al (2021)
29546	Jiaozigou Fm.	China	29.2	28.3	Dzungariotherium	orgosense	0	19696362	28.7	35	103.9	near-surface air temperature	degC	26.5	5.5	11.9	20.1	28.1	37	45.9	43.8	41.5	39.1	26.2	13.1	6.4	Valdes et al (2021)
29545	Qingshuiying Fm.	China	32.1	30.3	Dzungariotherium	sp.	new from Lingwu		31.2	38.2	106.7	near-surface air temperature	degC	16.6	-1.8	2.1	8.5	15.5	24.2	34.9	35.3	32.4	28.9	15.4	4.2	-0.8	Valdes et al (2021)
29036	Wangjiachuan LX1808	China	26.3	26.1	Dzungariotherium	orgosense	0	19696362	26.2	35.6	103.3	near-surface air temperature	degC	17.6	-0.7	4.6	11.6	18.5	26.4	35.2	34.1	32.3	28.1	15.8	5.1	-0.3	Valdes et al (2021)
26578	Haiyuan-hongliugou	China	23.8	22.8	indet.	indet.	0		23.3	36.5	105.3	near-surface air temperature	degC	14.7	-2	2.4	8.7	15.1	22.9	31.4	29.9	28.4	24.4	13	3.1	-1.3	Valdes et al (2021)
27064	Tieersihabahe_I	China	24.6	23	indet.	indet.	0		23.8	46.7	88.5	near-surface air temperature	degC	3.7	-16.9	-13.5	-7.9	1	9.8	20.4	31.3	29.4	15.2	0.6	-9.3	-15.3	
22927	Tosbulak	Kazakhstan	24.6	23	indet.	indet.	0		23.8	42.3	67.8	near-surface air temperature	degC	20.3	-0.5	2.9	11	20.6	30.3	38.4	45	41.8	29.9	15.5	6.9	1.2	
26554	Ladakh 1	India	41.2	37.7	Juxia	sharamurense	0	1300000	39.5	33.1	78.5	near-surface air temperature	degC	32.8	23.1	27.6	33	37.1	41.4	47.2	37.1	31.1	33.2	35.8	25.5	21.8	
22600	Ula Usu	China	48.6	33.9	Juxia	sharamurense	0	1300000	41.3	42.5	110.8	near-surface air temperature	degC	15.6	-5.8	-2	4.3	12.6	24.7	37	38.1	36.3	30.3	14.1	2.3	-4.4	
24242	Upper Lumeiyi	China	48.6	41.3	Juxia	indet.	0		45	24.8	103.3	near-surface air temperature	degC	30.8	17.2	22.1	29.5	35.8	40.1	43.1	38.2	35.3	35.1	32.6	23.5	17.3	
24245	Wulidui	China	48.6	41.3	Juxia	micracis	0		45	32.5	113.4	near-surface air temperature	degC	28.3	10.6	15.9	24.1	32.2	39.7	43	41.4	39.6	38.2	28.8	16.4	10	
22926	Alatage	Kazakhstan	24.6	23	Paraceratherium	indet.	0		23.8	48	66.9	near-surface air temperature	degC	14.1	-9.5	-6.7	3.2	13.8	24.8	34.3	42.3	38.5	24.5	9.8	0.4	-6	
22929	Altynshokysu	Kazakhstan	24.6	21.7	Paraceratherium	indet.	0		23.1	47.3	61	near-surface air temperature	degC	14.3	-8.2	-5.7	3.4	13.9	24.9	34.1	41.3	37.4	24.2	9.9	1.2	-5	
22585	Atam-Bas-Chink	Kazakhstan	26.7	23	Paraceratherium	indet.	0		24.8	48.3	63.8	near-surface air temperature	degC	16.5	-6.5	-3.3	5.5	16.9	28.4	37.5	43.4	39.1	26.4	12	2.6	-4	
27119	Benara	Georgia	27.8	23	Paraceratherium	callistrati	0		25.4	41.7	42.8	near-surface air temperature	degC	24.7	3.6	8.1	15.3	24.3	34.1	43.9	49.1	45.7	35	20.4	11.5	4.8	
24193	Caijiachong	China	37.4	33.9	Paraceratherium	intermedium	0		35.6	25.6	103.8	near-surface air temperature	degC	28.8	16.2	21.6	28.7	34.5	37.8	40.1	35	32.4	32	30.6	20.5	16	Valdes et al (2021)
24193	Caijiachong	China	37.4	33.9	Paraceratherium	qujingensis	0		35.6	25.6	103.8	near-surface air temperature	degC	28.8	16.2	21.6	28.7	34.5	37.8	40.1	35	32.4	32	30.6	20.5	16	Valdes et al (2021)
22568	Chelkar-Teniz	Kazakhstan	28.5	23	Paraceratherium	transouralicum	0	13000000	25.7	48	63.3	near-surface air temperature	degC	16.5	-6.5	-3.3	5.5	16.9	28.4	37.5	43.4	39.1	26.4	12	2.6	-4	Valdes et al (2021)
22568	Chelkar-Teniz	Kazakhstan	28.5	23	Paraceratherium	asiaticum	0	10600000	25.7	48	63.3	near-surface air temperature	degC	16.5	-6.5	-3.3	5.5	16.9	28.4	37.5	43.4	39.1	26.4	12	2.6	-4	Valdes et al (2021)
